latitude_deg,longitude_deg_east,elevation_m,hemisphere
84.875,63.125,-3122.5,North
84.875,65.125,-3082.0,North
84.875,67.125,-3053.5,North
84.875,69.125,-2986.5,North
84.875,71.125,-2004.0,North
84.875,73.125,-476.5,North
84.875,75.125,-316.0,North
84.875,77.125,-511.5,North
84.875,79.125,-378.5,North
84.875,81.125,-679.0,North
84.875,83.125,-803.0,North
84.875,85.125,-837.5,North
84.875,87.125,-564.0,North
84.875,89.125,-1429.0,North
84.875,91.125,-1668.5,North
84.875,93.125,-1733.0,North
84.875,95.125,-1608.0,North
84.875,97.125,-1600.5,North
84.875,99.125,-1501.5,North
84.875,101.125,-941.0,North
84.875,103.125,-496.5,North
84.875,105.125,-333.5,North
84.875,107.125,-29.5,North
84.875,109.125,23.5,North
84.875,111.125,-686.5,North
84.875,113.125,-1174.5,North
84.875,115.125,-604.5,North
84.875,117.125,-898.5,North
84.875,119.125,-1096.5,North
84.875,121.125,-663.5,North
84.875,123.125,-723.0,North
84.875,125.125,-520.5,North
84.875,127.125,-1077.5,North
84.875,129.125,-1133.5,North
84.875,131.125,-993.0,North
84.875,133.125,-1039.0,North
84.875,135.125,-1076.0,North
84.875,137.125,-1024.0,North
84.875,139.125,-968.5,North
84.875,141.125,-772.5,North
84.875,143.125,75.5,North
84.875,145.125,-787.5,North
84.875,147.125,-1994.5,North
84.875,149.125,-2577.5,North
84.875,151.125,-2876.5,North
84.875,153.125,-2727.0,North
84.875,155.125,-2703.0,North
84.875,157.125,-1642.5,North
84.875,159.125,-292.0,North
84.875,161.125,414.5,North
84.875,163.125,245.0,North
84.875,165.125,121.5,North
84.875,167.125,-14.0,North
84.875,169.125,279.0,North
84.875,171.125,-518.0,North
84.875,173.125,-1524.0,North
84.875,175.125,-2064.5,North
84.875,177.125,-2503.0,North
84.875,179.125,-2716.0,North
84.875,181.125,-2807.5,North
84.875,183.125,-2799.0,North
84.875,185.125,-2410.5,North
84.875,187.125,-4541.5,North
84.875,189.125,-3425.0,North
84.875,191.125,-2580.5,North
84.875,193.125,-2776.5,North
84.875,195.125,-2167.0,North
84.875,197.125,-2071.5,North
84.875,199.125,-2664.0,North
84.875,201.125,-2776.0,North
84.875,203.125,-2817.5,North
